Work Steps,Actions,CATEGORY 
ENG 1 HUNG START,". 

NO LIMITS EXCEEDED, N2 AT 10 PERCENT, AND NO FUEL FLOW. PER MX CONTROL, ATTEMPTED 2ND START ON #1 ENG AND START WAS SUCCESSFUL. REF RR OPS MANUAL, SEC 13, ABNORMAL PROCEDURES.",ENGINE STARTING
BIRD STRIKE ON DEPARTURE (CAPT WINDSHIELD) / LOTO INSTALLED,". 

REMOVED BIRD STRIKES REMAINS AND INSPECTED CAPTAINS WINDSHIELD AND ADJACENT STRUCTURES WITH NO DAMAGE NOTED IAW EMB 145 AMM 05-50-08. NO OTHER EVIDENCE OF BIRD STRIKE NOTED. / REMOVED AND STOWED AS REQUIRED",BIRD STRIKE
BIRD STRIKE ON THE NOSE / LOTO INSTALLED,". 

BIRD STRIKE PERFORMED BIRD STRIKE INSPECTION IRT EMB 145 AMM 5-50-08 NO DAMAGE NOTED / LOTO REMOVED AND STOWED LOTO AS REQ",BIRD STRIKE
EXPERIENCED SEVERE TURBULENCE AT 12500 FEET. / LOTO INSTALLED,". 

PERFORMED SEVERE TURBULANCE IAW E145 AMM 05-50-27. NO SIGNS OF DAMAGE FOUND / LOTO REMOVED AND STOWED AS REQ",SPECIAL INSPECTION
SCREW MISSING OVER PANNEL ON LEFT WING / LOTO INSTALLED,". 

SCREW INSPECTED PANEL 191KL . INSTALLED SCREW AS REQUIRED REF EMB 145 MM 20-10-07 / LOTO REMOVED AND STOWED",MISSING LOOSE/SCREW
"EICAS YAW DAMP FAIL, AUTO PILOT FAIL / LOTO INSTALLED",". 

DEFERRED YAW DAMPER PER MEL 22-10-00-3, PLACARD INSTALLED. RVSM AND CAT II NOT AUTHORIZED / REMOVED AND STOWED LOTO / TROUBLESHOT TO STEP 5 ON EMB145 FIM 22-11-00-810-802-A, DETERMINED TO BE A FAILURE OF RUDDER AUTOPILOT SERVO. MEL CONTINUES.",AP/YD
ACARS FAIL IN FLIGHT. / MEL VERIFICATION REQUIRED.,". 

DEFERRED ACARS PER MEL 23-20-01-1, PLACARD INSTALLED / VERIFY MEL 23-20-01-1...C/W VERIFY...PLACARD INSTALLED",ACARS
ACARS NO COMM MESSAGE ON EICAS,". 

RESET ACARS SYSTEM POWER. MESSAGE EXTINGUISHED. ALL FLIGHT INFO RECEIVED.",ACARS
FLIGHT DECK HEADSET EAR HAS BROKEN CLIP,". 

R&R HEADSET IN REF TO EMB 145 AMM 23-12-00",COMM
APU VOLTAGE CYCLES BETWEEN 10 AND 20 VOLTS / LOTO INSTALLED / MEL VERIFACITION REQUIRED AT NEXT STATION,". 

DEFER APU GENERATOR FUNCTION PER MEL 24-34-01-2 APU GEN SW IN OFF POSITION / APU VOLTAAGE CYCLES BETWEEN 10 AND 20 VOLTS R+R APU GCU IAW EMB 145 AMM 24-34-02, OPS CHECK SAT, PLACRD REMOVED MEL CLEARED / LOTO REMOVED AND STOWED PER MX CONTROL / APU GEN VERIFIED MEL 24-34-01-2 COMPLIED WITH, PLACARD INSTALLED , APU GEN DESELECTED .",APU GEN PROBLEM
COFFEE WATER RESIVOUR WILLNOT PUSH BACK IN / LOTO INSTALLED,". 

PUSHED BACK COFFEE WATER RESIVOUR IAW TIA CMM 25-30-40 NO FURTHER DEFECT NOTED / REMOVED AND STOWED LOTO AS REQUIRED",COFFEE POT/MAKER
CAPT SEAT ADJUSTMENT HANDLE BROKEN / LOTO DEVICE INSTALLED,". 

REMOVED AND REPLACED CA SEAT ADJUSTMENT HANDLE SCREW IAW CMM 25-11-71. OPS CHECK SAT. / LOTO DEVICE REMOVED AND STOWED AS REQUIRED.",CREW SEAT
F/O SEAT RECLINE FUNCTION INOP / LOTO DEVICE INSTALLED,". 

FO`S RECLINE OPS CK GOOD IAW EMB145 CMM 25-11-71 / LOTO REMOVED AND STOWED",CREW SEAT
F/O SEAT RECLINE IS NOT LOCKING. / LOTO DEVICE INSTALLED.,". 

SEAT ADJUSTED FO`S SEAT RECLINE ...REF CMM 25-11-71 OPS CK SAT / LOTO REMOVED AND STOWED LOTO",CREW SEAT
F/O SEAT VERT ADJSUTMENT INOP / LOTO DEVICE INSTALLED.,". 

DEFERRED PER MEL 25-11-01-1 PULLED AND COLLARED C/B E27, PLACARD APPLIED / INSTALLED CANNON PLUG TO HEIGHT ADJUSTMENT ACTUATOR IAW EMB 145 AMM 25-11-01. OPS CHECK SAT. MEL CLEARED, PLACARD REMOVED. / LOTO DEVICE REMOVED AND STOWED AS REQ",CREW SEAT
F/O SHOULDER HARNESS INERTIAL REEL INOP,". 

R+R FO`S SHOULDER HARNESS IAW EMB145 CMM 25-11-71. OPS CK GOOD",CREW SEAT
"FIRST AID KIT OPENED IN FLIGHT FOR A PASSENEGR,(BAND-AID) / LOTO DEVICE INSTALLED",". 

REMOVED AND REPLACED FIRST AID KIT IAW EMB. 145 AMM 25-60-01. / REMOVED AND STOWED LOTO.",EMERGENCY EQUIPMENT
"LAV DOOR NOT OPENING, STUCK CLOSED / LOTO DEVICE INSTALLED",". 

REMOVED DEBRIS FROM RAIL OF LAV DOOR, OPS CHECK GOOD IRT EMB 145 AMM 25-40-02 / REMOVED AND STOWED LOTO",LAV DOOR
19 C&D OVERHEAD BIN WONT CLOSE / LOTO INSTALLED,". 

19C/D ADJUSTED 19 C/D OVERHEAD BIN & OP/S GOOD REF EMB 145MM 25-22-03 / LO TO REMOVED",OVHD BIN
SEAT 7D WON`T STAY UP / LOTO INSTALLED,". 

LP 96970 RESECURED SEAT 7D IAW EMB145 CMM 25-20-60. OPS CHECK SAT / LP 96970 LOTO REMOVED AND STOWED",PAX SEAT
1 SEAT BELT EXTENDER MISSING / LOTO INSTALLED,". 

LP 1008678 REPLACED SEAT BELT EXTENSION AS REQ. REF EMB 145 AMM 25-00-00. / LP 1008678 LOTO REMOVED AND STOWED",PAX-SEAT BELT EXTENDER
ONE SEAT BELT EXTENDER MISSING.,". 

DEFERRED PER NEF 25-90-40-1. TWO EXTENDERS ON BOARD FOR DEMONSTRATION. / EXTENSION LP 0052860 INSTALLED SEAT BELT EXTENSION AS REQUIRED. NEF CLEARED",PAX-SEAT BELT EXTENDER
AILERON DISCONNECT HANDLE UPSIDE DOWN. / LOTO INSTALLED,". 

FLIPPED AILERON DISCONNECT HANDLE RIGHT SIDE UP AND PERFORED ADJUSTMENT AND TEST OF AILERON DISCONNECT IAW EMB 145 AMM 27-15-00 / LOTO REMOVED AND STOWED",AILERON
EVELATOR DISCONNECT HANDLE UPSIDE DOWN.,". 

FLIPPED DISCONNECT HANDLE RIGHT SIDE UP AND PERFORMED ADJUSTMENT AND TEST OF EVELATOR DISCONNECT IAW EMB 145 AMM 27-35-00. OPS CHECK SAT.",ELEVATOR PROBLEM
GUST LOCK FOUND UNLOCKED IN THE INTERMEDIATE POSITION / LOTO DEVICE INSTALLED,". 

PERFOMRED INSPECTION OF THE LH AND RH ELEVATOR IAW TA E145-2770-2022-001, NO DEFECTS NOTED / PERFORMED GALE FORCE WIND INSPECTION IRW EMB 145 AMM 05-50-26, NO DEFECTS NOTED AT THIS TIME / LOTO DEVICE REMOVED AND STOWED AS REQ",GUST LOCK
FO`S RUDDER PEDAL ADJUSTMENT SWITCH IS LOOSE FROM PANEL / LOTO INSTALLED,". 

RESECURED ADJUSTMENT SWITCH IN REF TO EMB 145 AMM 20-13-03 / LOTO REMOVED",RUDDER SYS
"SPOILER FAIL ON CLIMB OUT, ON DESCENT MESSAGE DISSAPEARED WITH LDG EXTENSION. ON GROUND SPOILER FAIL MESSAGE REAPPEARED AND SPOILERS DID NOT RETRACT. / LOTO DEVICE INSTALLED / ENGINEERING REQUEST RELAY K0479 AND K0482",". 

LOGPAGE 1016930 R/R RELAYS K0479 & K0482 IAW EMB 145 AMM 20-13-02. OPS CHECK SAT. SPOILERS FUNCTIONING PROPERLY. NO MESSAGES PRESENT / LOGPAGE 1016931 LOTO REMOVED & STOWED AS REQUIRED / R/R RELAYS K0479 & K0482 IAW EMB 145 AMM 20-13-02. OPS CHECK SAT. SPOILERS FUNCTIONING PROPERLY. NO MESSAGES PRESENT",SPOILER PROBLEM
SPS AMBER LIGHTS ON AFTER BOTH ENGINE START.,". 

PERFORMED QRH PROCEDURES. AMBER LIGHTS EXTINGUISHED. STALL SYSTEM TESTED NORMALLY. NO DEFECTS NOTED.",SPS
"HYD 1 LOW QTY ""ON EICAS"" & HYD FLUID 1 IN AMBER IN FLIGHT. HYD 1 FAIL AFTER LANDING. / LOTO INSTALLED",". 

FOUND #1 RUDDER ACTUATOR TO BE FAULTY. PARTS ON ORDER",HYD SYS LOW/LEAK
POSSIBLE BRAKE TEMP INDICATION FAULT ON RH MAIN OUTBORD WHEEL / GEAR PINS INSTALLED / OPS AND TAXI CHECK REQUIRED,". 

FOUND #4 MWA HUB CAP DAMAGED, R/R HUB CAP IAW EMB 145 AMM 32-49-02. / GEAR PINS REMOVED AND STOWED / TAXIIED AIRCRAFT AND VERIFIED NORMAL OPERATION ON BRAKES, NO FAULTS NOTED REF EMB 145 AMM 09-20-00 AND 32-41-00.",BRAKE TEMP
MANUAL LANDING GEAR EXTENSION LEVER NOT STOWED.,,GEAR INDICATION/ACTUATION
"NOSE WHEEL PULLS TO LEFT, UNABLE TO STEER LEFT WITHOUT CORRECTION / LOTO INSTALLED",". 

STREEING ADJUSTED NOSE WHEEL STREEING & OP/S GOOD REF EMB 145MM 32-50-00 / LO TO REMOMED",NOSE WHEEL STEERING
NOSE WHEEL STEERING PULLS RT ON T/O AND TAXI / LOTO DEVICE INSTALLED.,". 

STEERING ADJUSED NOSEWHEEL STREEING & OP/S GOOD REF EMB 145MM 32-50-00 / LO TO",NOSE WHEEL STEERING
POSSIBLE FAULT WITH ANTI LOCK ON RH MAIN OUTBORD WHEEL / EIE,". 

R/R #4 MWA WHEEL SPEED TRANSDUCER IAW EMB 145 AMM 32-41-03. / EIE",TIRE PROBLEM
RIGHT MAIN GEAR OUTBOARD TIRE FLAT SPOT / LOTO INSTALLED,". 

R/R #4 MWA IAW EMB 145 AMM 32-49-02. / LOTO REMOVED REMOVED AND STOWED",TIRE WORN
LOOSE UPPER TAXI LIGHT / LOTO INSTALLED,". 

INSPECTED & FOUND CRACKED SUPPORT BRACKET, R & R UPPER TAXI LIGHT SUPPORT BRACKET IN REF TO EMB 145 AMM 33-42-02 / LOTO REMOVED",EXTERIOR LIGHT
STERILE LIGHT SWITCH IS LOOSE / LOTO INSTALLED,". 

TIGHTENED AND SECURED STERILE LIGHT SWITCH IAW AMM 20-13-07. OPS CHECK SAT. NO DEFECTS NOTED. / LOTO DEVICE REMOVE AND STOWED AS REQUIRED.",COCKPIT LIGHT/PUSHBUTTON
"APU FAIL ON ENGINE START. / LOTO INSTALLED / APU FADEC AND DMM DOWNLOAD REVEIW APU DDOWNLOAD HAS BEEN REVEIWED AND THE FOLLOWING FAULTS WERE LOGGED ON START 41385 AND 41394. SHUTDOWN FAULTS: 1. (132) OVERTEMP AT RUN - FAULT ISOLATION PROCEDURE ""AC"" WARNING FAULTS: 1. (146) INLET HIGH TEMP - FAULT ISOLATION PROCEDURE ""AG"" RECOMMENDED ACTION IS TO: BEGIN WITH PROCEDURE ""AC"" REF P&W EMM AND IF FAULTS PERSIST CONTINUE WITH PROCEDURE ""AG""",". 

DEFERRED PER MEL 49-00-00-1. PLACARD INSTALLED. C/B C30 ON OVERHEAD AND E6 ON LT DIST PANEL PULLED AND COLLARED. / EIE / REMOVED AND STOWED LOTO DEVICE AS REQUIRED. / APU FAIL ON ENGINE START (LB 97082) PERFORMED P&W T-62T-40C14 FIM AC STEP 1,DETMIND ANTI-SURGE VALVE OK, MEL CONT`",APU FAIL
APU FAIL TO START. / LOTO INSTALLED,". 

APU GPU FAIL DURING APU START. RESET GPU POWER, PERFORMED OPS C OF APU, VERUFY NORMAL OPS. REF EMB 145 MM 49-13-00 / LOTO REMOVED AND STOWED LOTO",APU FAIL
APU FAIL EICAS MESSAGE WHEN KNOB MOVED TO ON POSITION BEFORE STARTING. / MEL REQUIRES VERIFICATION.,". 

DEFERRED PER MEL 49-00-00-1. PLACARD INSTALLED. C/B C30 ON OVERHEAD AND E6 ON LT DIST PANEL PULLED AND COLLARED. / VERIFIED MEL PROCEDURES WERE C/W PER MEL 49-00-00-1.",APU FAIL
2 LOOSE SCREWS FWD OF PACK PANEL R/H WING / LOTO DEVICE INSTALLED,". 

SECURED ONE SCREW ON PANEL 191FR IAW EMB 145 AMM 20-10-07. DEFERRED PER DMI 102027942 IAW TA E145-53-04-2021-001 SPEED TAPE APPLIED / LOTO DEVICE REMOVED AND STOWED AS REQUIRED",MISSING/LOOSE SCREW
SCREW MISSING ABOVE RIGHT WING / LOTO INSTALLED,". 

SCREW INSPECTED PANEL 191LR, INSTALLED SCREW AS RQUIRED REF EMB 145 MM 20-10-07 / LOTO REMOVED AND STOWED LOTO",MISSING/LOOSE SCREW
"ENG 2 REV DISAGREE ON CLIMB OUT, ON DESCENT MESSAGE DISSAPPEARED WITH LDG EXTENSION",". 

LOGPAGE 1016930 SEE W/O 102027958 FOR R/R OF RELAYS K0479 & K0482. PERFORMED TR OPERATIONAL CHECK IAW EMB 145 AMM 78-31-01. OPS CHECK SAT. TRS OPERATING NORMAL. NO MESSAGES PRESENT",T/R DISAGREE
FOUND MISSING SIGNATURE ON LOGPAGE 55720,". 

VERIFIED WORK COMPLPETED AND SIGNED OFF IN AMOS, WILL ISSUE CA-16.",PAPERWORK
CAPT YOKE TRIM PLACARD MISSING,". 

INSTALLED TEMPORARY PLACARD ON CA YOKE TRIM SWITCH IAW TA E145-1100-2017-001. REQ REPLACEMENT IN 50 FH",PLACARD
BAGGAGE DOOR SHOWING OPEN ON EICAS AND MFD / MANAGEMENT APPROVAL TO CLEAR THIS MEL / MEL VERIFICATION,". 

DEFER PER MEL 52-70-00-2, PLACARD APPLIED, DOOR VERIFIED CLOSED / LP 0097082 FOLLOWED TI E145-5276-2021-001. PERFORM THE MICROSWITCH ADJUSTMENT/TEST , ADJUSTED MICROSWITCHES. OPS CHECK SAT IAW EMB 145 AMM 52-76-01. MEL CLEARED. PLACARD REMOVED / RECEIVED DOM APPROVAL TO CLOSE / LP 97078 VERIFIED MEL 52-70-00-2 BAGGAGE DOOR SHOWING OPEN ON EICAS AND MFD, PLACARD INSTALLED.",DOOR INDICATION
E1 OIL 8QTS / LOTO INSTALLED,". 

SERVICED E1 OIL IAW EMB 145 AMM 12-12-01 / LOTO REMOVED AND STOWED AS REQUIRED",ENG OIL
HYD 1 LOW QTY,". 

SERVICED HYD SYS 1 IAW EMB 145 AMM 12-13-01",HYD SYS LOW/LEAK
AWS 1 AND 2 BREAKER PULLED / LOTO DEVICE INSTALLED,". 

RESET BREAKERS PER MXC. / LOTO DEVICE REMOVED AND STOWED",AURAL WARNING
PACK 2 LIGHT INOP / LOTO INSTALLED,". 

RELAMP PACK 2 PUSH BUTTON REF E145AMM 20-13-04 OPS CK SAT / REMOVED AND STOWED LOTO",COCKPIT LIGHT/PUSHBUTTON
IC 1 FAIL IN FLIGHT / LOTO DEVICE INSTALLED,". 

IC-600 R&R #1 IC-600 IRT EMB 145 AMM 31-42-01 OPS CK GOOOD / LOTO REMOVED AND STOWED LOTO",IC-600
115 VAC BUS OFF EICAS MESSAGE / LOTO INSTALLED,". 

DEFERED PER MEL 24-20-03-1 PLACARD INSTALLED / LOTO REMOVED AND STOWED",ELECTRICAL PROBLEM
COCKPIT CENTER GRAB HANDLE BROKEN / LOTO DEVICE INSTALLED,". 

DEFERRED PER NEF 25-93-03-1. PLACARD APPLIED / LOTO REMOVED AND STOWED",COCKPIT EQUIP/INTERIOR
C/A SEAT RECLINE BUTTON INOP / LOTO DEVICE INSTALLED,". 

DEFERRED PER MEL 25-11-01-5. PLACARD APPLIED / LOTO STORED AS REQD",CREW SEAT
FO SEAT DOES NOT SLIDE RIGHT / LOTO INSTALLED,". 

FO SEAT LUBED FO SEAT TRACK AND ADJ MECH IAW EMB 145 AMM 25-11-01 OPS CK GOOD / LOTO LOT STOWED AS REQ",CREW SEAT
LAV DOOR OUTSIDE( CABIN SIDE) LATCH PIN MISSING. / LOTO DEVICE INSTALLED,". 

INSTALLED LAV OUTSIDE LATCH PIN IAW EMB 145 AMM 25-40-02 / LOTO REMOVED AND STOWED",LAV DOOR
FIRE EXT IN COCKPIT MISSING ZIP TIE SEAL / LOTO INSTALLED,". 

INSTALLED SECURITY SEAL ON FIRE EXT AS REQUIRED. VERIFIED NOT DISCHARGED / LOTO REMOVED AND STOWED AS REQUIRED",FIRE EXTINGUISHING
GUST LOCK STICKS SHUT / LOTO INSTALLED,". 

GUST LOCK VERIFIED NORMAL OPERATION OPS CK GOOD REF EMB145 MM 27-71-00 / LOTO `REMOVED AND STOWED LOTO",GUST LOCK
FLAP LOW SPEED ON EICASS ADV MESSAGE / LOTO INSTALLED / REQ MANAGMENT APPROVAL TO CLEAR / REPEAT LEVEL 1 – FLAP LOW SPEED PERFORM REPEAT LEVEL 1 WO 102.029.952.,". 

DEFERED PER MEL 27-53-00-1 PLACARD INSTALLED FLAP CHANNEL 2 DEACTIVED / LOTO REMOVED AND STOWED",FLAP LOW SPEED
AURAL UNIT 1 WARNING CHANNEL IN FLIGHT / LOTO INSTALLED,". 

POWER CYCLED AC OPS CHECK IAW EMB 145 AMM 32-51-00 OPS CHECK SAT NO DEFECTS NOTED. / LOTO REMOVED AND STOWED AS REQUIRED.",AURAL WARNING
BRAKE DEGRADED EICAS MESSAGE / LOTO DEVICE INSTALLED,". 

DUE TO PREVIOUSLY RECORDED CMC FAULTS, SWAPPED WHEEL SPEED TRANSDUCERS 3 AND 4 FOR T/S PURPOSES IRW E145 AMM 32-41-03, NO ISSUES NOTED. PERFORMED E145 FIM 32-41-00-810-804-A. FAULT EXTINGUISHED. OPS/ TAXI CHECK WITH CREW GOOD. FOUND TO BE A TRANSITORY CONDITION OF THE BRAKE SYSTEM. / LOTO REMOVED AND STOWED",BRAKE DEGRADE
APU CONTROL KNOB LOOSE / LOTO DEVICE INSTALLED,". 

KNOB SECURED KNOBE OPS CK GOOD REF EMB 145 MM 20 13-03 / LOTO REMOVED AND STOWED LOTO",COCKPIT EQUIP/INTERIOR
GPU AVAIL LIGHT INOP / LOTO INSTALLED,". 

R AND R PEANUT BULBS IN GPU PUSH BUTTON IAW EMB 15 AMM 20-13-04. OPS CHECK GOOD / LOTO REMOVED AND STOWED AS REQUIRED",COCKPIT LIGHT/PUSHBUTTON
LEFT LOGO LIGHT INOP / MEL VERIFY REQ,". 

DEFERED PER MEL 33-46-00-1 PLACARD INSTALLED / R & R LAMP ASSY IAW EMB 145 AMM 33-46-02. OPS CHECK CARRIED OUT IAW EMB 145 AMM 33-46-00. FOUND SATSIFACTORY . MEL CLEARED AND PLACARD REMOVED / VERIFIED MEL 33-46-00-1 APPLIED CORRECTLY",EXTERIOR LIGHT
LAV RETURN TO SEAT SIGN NOT PROPERLY LIT / LOTO INSTALLED,". 

LIGHT REMOVED AND REPLACEDD LAV RETURN TO SEAT SIGN LIGHT BULBS, REF EMB 145 MM 33-23-05 / LOTO REMOVED AND STOWED LOTO",INTERIOR LIGHT
STERILE LIGHT INOP / LOTO INSTALLED,". 

RELAMPED STERILE LIGHT IN REF TO EMB 145 AMM 33-23-08, OPS CK SAT / LOTO REMOVED",COCKPIT LIGHT/PUSHBUTTON
FO O2 MASK STOWAGE BOX INSTALLED UPSIDE DOWN / LOTO INSTALLED,". 

ADJUSTED FO O2 MASK STOWAGE BOX TO CORRECT POSITION OPS CK GOOD IAW EMB145 AMM 35-10-09. / LOTO REMOVED AND STOWED",CREW O2 MASK
MAIN CABIN DOOR TOP PANEL LOOSE / LOTO INSTALLED / VERIFY NEF PROCEDURES,". 

REMOVED TOP MCD TRIM FAIRING ASSY. PERFORMED PRESSURE CHECK IRW EMB 145 AMM 21-31-00. OPS / LEAK CHECK OF MAIN DOOR SAT. DEFERRED PER NEF 25-90-42-1. PLACARD APPLIED. NO SAFETY RISK PRESENT. ALL WORK DONE PER MXC. / LOTO REMOVED AND STOWED PER MXC / C/W NEF VERIFICATION. PLACARD INSTALLED (TRIM FAIRING IN CLOSET W/ AIRCRAFT)",PAX/CREW DOOR
SERVICE DOOR SQUEEL / LOTO INSTALLED,". 

INSPECTED SVC DOOR SEAL WITH NO DEFECTS NOTED, PERFORMED PRESSURIZATION OPS CHECK IRW EMB 145 AMM 21-31-00, NO NOISE NOTED AT THIS TIME, OPS CHECK SAT / LOTO REMOVED AND STOWED",SERVICE DOOR
#2 THRUST LEVER WILL NOT GO BELOW IDLE STOP ON LANDING. / LOTO INSTALLED / FDR DOWNLOAD REQUESTED BY ENGINEERING,". 

PER ENGINEERING R/R RELAYS K0256, K0384, K0362, K0354 IRW EMBV 145 AMM 20-13-02, PERFORMED OPS CHECK OF TR IAW EMB 145 AMM 78-32-00, OPS CHECK SAT AT THIS TIME. / LOT REMOVED AND STOWED / PERFORMED FDR IRW EMB 145 AMM 31-31-00",ENG CONTROL
BIRD STRIKE 8000` LEFT SIDE BY BATTERY COMPARTMENT / LOTO INSTALLED,". 

C/W BIRD STRIKE INSP. NO DECETS NOTED REF EMB 145 AMM 5 50 08 / LOTO REMOEVED AND STOWED",BIRD STRIKE
SINK IN BATHROOM WON`T DRAIN,". 

CLEANED AND UNCLOGGED BATHROOM SINK",POTABLE WATER
POSSIBLE HYD LEAK FROM LT ACCESS UNDER BELLY / LOTO INSTALLED,". 

CLEANED AND INSPECTED #1 HYDRAULICS DRAIN LINE. OPS CHK LEAK CHK GOOD IRT EMB 145 AMM 29-10-00 / REMOVED AND STOWED LOTO",HYD SYS LOW/LEAK
FA REPORTS NO AIR FROM PAX GASPER VENTS / LOTO INSTALLED,". 

GASPER VENTS SEE LOG PAGE 1016971 ITEM. GASPER VENTS REMAIN ON MEL / LOTO STOWED AS REQ",AIR DISTRIBUTION
PAX CABIN NOT HEATING / LOTO INSTALLED,". 

INSPECTED PACK SYSTEMS IAW EMB 145 AMM 21-51-00. NO LEAKS NOTED. FOUND THE NUMBER 2 PACK VALVE NOT OPERATING PROPERLY IN AUTO OR MANUAL MODE. DEFERRED PACK 2 PER MEL 21-51-00-3. REMAINING PACK AND RECIRC FAN OPERATE NORMALLY. PLACARD APPLIED. / LOTO REMOVED AND STOWED",PACK VALVE
PACK 2 SUSPECT BLOWN. LOUD NOISE RIGHT SIDE / LOTO INSTALLED,". 

R+R SLEEVE AND CLAMPS FROM DUAL HEAT EXCHANGER ON PACK #2 IAW EMB145 AMM 21-51-02 OPS CK GOOD. / LOTO REMOVED AND STOWED",PACK DUCT
CD PLAYER ONLY TRANSMITTING ON GALLEY SPEAKER / LOTO INSTALLED,". 

RESET CD PLAYER AND OPS CK GOOD IAW EMB 145 AMM 23-32-00. / REMOVED AND STOWED AS REQUIRED",CD PLAYER
STATIC DISCHARGER MISSING OFF THE RIGHT WINGLET / VERIFY CDL PROCEDURE,". 

DEFERRED PER CDL 23-60-2-CDL. / 1016872 CW VARIFICATION OF CDL 23-60-2-CDL",STATIC WICK/BONDING STRAP
C/A EFB MOUNT BROKEN,". 

DEFERRD PER NEF 25-93-23-9. PLACARD APPLIED / LP 96274 R&R C/A EFB MOUNT IAW EMB 145 AMM 25-00-00. OPS CK GOOD. PLACARD REMOVED. NEF CLEARED.",COCKPIT EQUIP/INTERIOR
BOTH COFFEE POTS NOT WORKING / LOTO INSTALLED,". 

INSPECTED & FOUND #1 COFFEE INOP. R&R #1 COFFEE MAKER IN REF TO EMB 145 CMM 25-30-29. OPS CK GOOD / LOTO REMOVED",COFFEE POT/MAKER
ROW 19 OVHD BIN NOT STAYING CLOSED / LOTO INSTALLED,". 

DEFERED PER MEL 25-22-00-3 DOOR SECURED OPEN PLACARD INSTALLED / LOTO REMOVED AND STOWED",OVHD BIN
10A LEFT ARMREST ENDCAP BROKEN OFF / VERIFY MEL PROCEDURE,". 

DEFERRED PER MEL 25-21-05-1. SEAT 10A BLOCKED AND PLACARDED. / (OLD PLACARD REMOVED) FOUND SEAT 10A ARMREST JAGGED AND UNSAFE. REMOVED ARMREST IRW SAFFRON CMM 25-20-60. RECLASSIFICATION OF MEL REQUIRED. DEFERRED PER MEL 25-21-05-6. PLACARD APPLIED. SEAT UNBLOCKED. / R/R LEFT HAND ARMREST ASSY @ SEAT 10A IRW SAFRAN CMM 25-20-60. MEL CLEARED PLACARD REMOVED. IA 3684593 04/25/22 / SEE ABOVE FOR MEL RECLASSIFICATION",PAX SEAT
BACK UP ELEVATOR ROCKER TRIM SWITCH WONT GO UP / LOTO INSTALLED,". 

CLEARED BACK UP ELEVATOR ROCKER TRIM SWITCH OF DEBRIS. IAW EMB 145 MM 27-40-043 / REMOVED & STOWED LOTO",ELEVATOR PROBLEM
INTERMITTENT RUDDER HARDOVER PROTECTION FAIL MSG ON EICAS / LOTO INSTALLED,". 

RESET FADEC SYSTEM NO FAULTS NOTED IAW EMB 145 AMM 145 XR 73 22 01 / LOTO REMOVED AND STOWED",RUDDER SYS
"WINDSHIELD HEAT #1 FAIL INTERMITTENTLY, CLICKING SOUND IN OVERHEAD PANEL / LOTO DEVICE INSTALLED",". 

R&R W/S HEAT 1 SWITCH IN REF TO EMB 145 AMM 20-13-04, OPS CK SAT / LOTO REMOVED",WS HEAT
LG AIR/GND FAIL MESSAGE ON EICAS,". 

PERFORMED ELECTRICAL RESET PER MXC, MESSAGE EXTINGUISHED, NO FURTHER ACTION REQUIRED",AIR/GND FAIL
KNOCKING NOISE NOTED FROM NOSE GEAR DURING TAXI / LOTO INSTALLED,,GEAR NOISE
W/S 2 HEAT LIGHT INOP / LOTO INSTALLED,". 

R/R W/S HEAT 2 PB LIGHTS IAW EMB 145 AMM 20-13-04. NO FURTHER DEFECTS NOTED AT THIS TIME. / LOTO REMOVED AND STOWED AS REQUIRED.",COCKPIT LIGHT/PUSHBUTTON
#2 LANDING LIGHT BURNT OUT / ENGENNRING REQUEST CHECK FUSE F0062 IN BLOCK 2 OF FIM 33-41-00-810-803. (LANDING LIGHT HAS ALREADY BEEN RPLACED) CONTINUE FIM AS REQUIRED,". 

DEFER PER MEL 33-41-00-1, PULLED COLLARED CB H18, PLACARD APPLIED. / R/R #2 LH WING LANDING LIGHT LAMP IRW E145 AMM 33-41-02 OP CHECK FAIL. MEL CONTINUES",EXTERIOR LIGHT
GREEN NAV LIGHT OUT.,". 

DEFERRED PER MEL 33-43-00-1, PLACARD APPLIED, NAV SWITCH PLACED IN STBY MODE",EXTERIOR LIGHT
LEFT WING LANDING LIGHT INOP / LOTO DEVICE INSTALLED,". 

LIGHT REMOVED AND REPLACED L/H LANDING LIGHT BULB REF EMB 145 MM 33-41-02 / LOTO REMOVED AND STOWED LOTO",EXTERIOR LIGHT
"WHITE POSITION LIGHT OUT, LT WING / LOTO DEVICE INSTALLED",". 

DEFERRED PER MEL 33-43-00-1, PLACARD APPLIED, NAV SWITCH PLACED IN STBY MODE / LOTO DEVICE REMOVED AND STOWED AS REQUIRED",EXTERIOR LIGHT
"WHITE POSITION LIGHT OUT, RT WING",". 

DEFERRED PER MEL 33-43-00-1, PLACARD APPLIED, NAV SWITCH PLACED IN STBY MODE",EXTERIOR LIGHT
MFD #2 SELECTOR KNOB IS LOOSE AND INTERMITINT / LOTO DEVICE INSTALLED,". 

MFD INSPECTED #2 MFD VESSEL KNOB, PROPERLY SECURED. PERFORMED OPS CK, VERIFIED NORMAL OPS, REF EMB 145 MM 34-22-00 / LOTO REMOVED AND STOWED LOTO",DU/PFD/MFD
